,month,year,vazao
377,4,1997,350.997
378,5,1997,237.215
379,6,1997,185.394
380,7,1997,166.394
381,8,1997,152.089
382,9,1997,148.929
383,10,1997,156.651
384,11,1997,169.456
385,12,1997,227.493
386,1,1998,248.572
387,2,1998,232.96400000000003
388,3,1998,236.819
389,4,1998,173.8
390,5,1998,174.608
391,6,1998,143.295
392,7,1998,133.82399999999998
393,8,1998,124.076
394,9,1998,119.539
395,10,1998,131.498
396,11,1998,235.078
397,12,1998,251.332
398,1,1999,265.689
399,2,1999,255.594
400,3,1999,285.027
401,4,1999,185.656
402,5,1999,183.34
403,6,1999,154.96
404,7,1999,145.504
405,8,1999,138.933
406,9,1999,149.803
407,10,1999,153.61700000000005
408,11,1999,240.99
409,12,1999,348.992
410,1,2000,343.858
411,2,2000,343.3590000000001
412,3,2000,309.646
413,4,2000,277.77
414,5,2000,205.098
415,6,2000,177.356
416,7,2000,166.58900000000003
417,8,2000,153.97899999999996
418,9,2000,156.608
419,10,2000,149.035
420,11,2000,214.923
421,12,2000,331.576
422,1,2001,205.941
423,2,2001,236.13
424,3,2001,309.948
425,4,2001,230.867
426,5,2001,202.197
427,6,2001,170.46
428,7,2001,150.32399999999996
429,8,2001,136.638
430,9,2001,134.064
431,10,2001,150.736
432,11,2001,187.045
433,12,2001,244.742
434,1,2002,561.697
435,2,2002,312.089
436,3,2002,238.644
437,4,2002,245.673
438,5,2002,183.05
439,6,2002,163.07
440,7,2002,151.001
441,8,2002,139.39600000000002
442,9,2002,138.467
443,10,2002,133.66
444,11,2002,159.079
445,12,2002,207.481
446,1,2003,253.317
447,2,2003,233.534
448,3,2003,281.555
449,4,2003,216.228
450,5,2003,176.081
451,6,2003,156.392
452,7,2003,140.112
453,8,2003,131.02700000000002
454,9,2003,126.557
455,10,2003,133.059
456,11,2003,178.12
457,12,2003,177.58900000000003
458,1,2004,325.946
459,2,2004,417.003
460,3,2004,387.222
461,4,2004,233.74
462,5,2004,197.356
