EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
34060000;2;01/03/1966;;1;1;802,475;186,318;302,639;11;30;2;2;2;;0;222,54;241,666;287,121;321,08;303,006;294,136;278,453;290,619;337,726;422,122;802,475;459,228;407,841;622,412;559,125;438,698;249,832;235,216;227,258;217,863;210,163;207,116;204,087;204,087;198,088;195,117;193,638;189,232;189,232;186,318;186,318;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/04/1966;;1;1;352,821;172,038;236,85;11;27;2;2;2;;0;180,548;179,117;177,692;192,165;201,078;193,638;210,163;288,868;315,611;328,434;352,821;341,473;317,43;324,748;322,912;310,182;280,178;233,615;213,229;210,163;205,599;201,078;193,638;189,232;187,772;180,548;172,038;173,444;207,116;220,976;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/05/1966;;1;1;205,599;158,245;179,177;1;28;2;2;2;;0;205,599;201,078;201,078;201,078;201,078;205,599;202,581;201,078;198,088;192,165;192,165;189,232;180,548;176,271;173,444;169,24;169,24;169,24;169,24;169,24;166,462;166,462;166,462;166,462;163,703;163,703;160,964;158,245;158,245;158,245;158,245;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/06/1966;;1;1;179,117;144,944;157,569;7;17;2;2;2;;0;158,245;156,892;155,545;155,545;158,245;165,08;179,117;179,117;170,637;166,462;163,703;162,331;162,331;160,964;160,964;160,964;144,944;155,545;152,865;152,865;152,865;150,204;150,204;150,204;150,204;150,204;150,204;150,204;150,204;150,204;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/07/1966;;1;1;147,564;137,202;142,693;1;29;2;2;2;;0;147,564;147,564;147,564;147,564;147,564;147,564;146,251;144,944;144,944;143,641;142,343;142,343;142,343;142,343;142,343;142,343;142,343;142,343;142,343;142,343;142,343;142,343;141,05;139,763;139,763;139,763;139,763;138,48;137,202;137,202;137,202;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/08/1966;;1;1;137,202;129,642;133,492;1;28;2;2;2;;0;137,202;137,202;137,202;137,202;137,202;135,93;135,93;135,93;135,93;135,93;134,662;134,662;134,662;134,662;134,662;133,399;133,399;133,399;132,142;132,142;130,889;130,889;130,889;130,889;130,889;130,889;130,889;129,642;129,642;129,642;129,642;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/09/1966;;1;1;193,638;124,703;140,465;22;14;2;2;2;;0;128,4;128,4;128,4;128,4;127,162;127,162;127,162;127,162;127,162;127,162;127,162;127,162;125,93;124,703;124,703;124,703;124,703;124,703;127,162;144,944;162,331;193,638;184,868;186,318;187,772;170,637;148,882;144,944;143,641;138,48;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/10/1966;;1;1;210,163;134,662;166,483;22;3;2;2;2;;0;135,93;135,93;134,662;135,93;137,202;147,564;165,08;162,331;159,602;158,245;158,245;163,703;166,462;163,703;160,964;159,602;158,245;158,245;160,964;192,165;207,116;210,163;207,116;204,087;201,078;193,638;179,117;165,08;160,964;159,602;158,245;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/11/1966;;1;1;326,589;142,343;191,801;30;4;2;2;2;;0;155,545;152,865;146,251;142,343;142,343;147,564;151,532;151,532;148,882;147,564;146,251;147,564;150,204;152,865;199,581;310,182;315,611;165,08;156,892;173,444;180,548;184,868;210,163;207,116;228,841;243,29;248,19;238,432;281,907;326,589;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
34060000;2;01/12/1966;;1;1;413,936;160,964;267,001;27;11;2;2;2;;0;326,589;319,253;311,987;297,671;285,378;232,019;195,117;176,271;166,462;162,331;160,964;160,964;160,964;167,848;174,855;181,983;190,696;214,769;311,987;275,018;295,901;326,589;315,611;299,444;395,767;397,768;413,936;399,774;364,325;326,589;268,201;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
