,EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
38,34060000,2,1967-01-08,,1,1,150.204,137.202,144.596,1,27,2,2,2,,0,150.204,150.204,150.204,150.204,150.204,148.882,148.882,148.882,148.882,147.564,147.564,147.564,146.251,146.251,146.251,146.251,144.944,144.944,144.944,144.944,142.343,142.343,141.05,139.763,138.48,138.48,137.202,137.202,137.202,137.202,137.202,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39,34060000,2,1967-01-09,,1,1,162.33100000000002,137.202,147.714,13,1,2,2,2,,0,137.202,137.202,137.202,137.202,137.202,137.202,137.202,137.202,138.48,141.05,150.204,158.245,162.33100000000002,155.545,158.245,155.545,152.865,144.944,138.48,142.343,144.944,147.564,152.865,155.545,155.545,155.545,155.545,155.545,156.892,155.545,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
40,34060000,2,1967-01-10,,1,1,176.271,127.162,146.447,31,6,2,2,2,,0,155.545,155.545,155.545,143.641,134.662,127.162,127.162,132.142,146.251,152.865,160.964,158.245,143.641,134.662,134.662,134.662,134.662,135.93,135.93,138.48,138.48,139.763,139.763,142.343,147.564,152.865,158.245,162.33100000000002,167.84799999999998,172.03799999999998,176.271,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41,34060000,2,1967-01-11,,1,1,350.918,177.692,287.905,19,1,2,2,2,,0,177.692,195.11700000000002,202.581,195.11700000000002,181.983,204.08700000000002,219.417,238.43200000000002,259.783,294.13599999999997,306.585,319.253,317.43,311.987,310.182,317.43,330.284,341.473,350.918,350.918,343.353,330.284,332.13800000000003,328.434,328.434,326.589,324.748,303.006,299.444,295.901,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
42,34060000,2,1967-01-12,,1,1,652.288,156.892,296.42900000000003,29,11,2,2,2,,0,264.82,235.21599999999998,235.21599999999998,228.84099999999998,224.108,205.59900000000002,173.44400000000002,166.46200000000002,163.703,159.602,156.892,156.892,195.11700000000002,217.863,210.16299999999998,246.55200000000002,299.444,297.671,246.55200000000002,246.55200000000002,249.832,251.479,261.457,322.91200000000003,335.85900000000004,418.02,551.698,603.769,652.288,614.952,596.319,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
627,34060000,2,1967-10-31,,1,1,350.918,177.692,287.905,19,1,2,2,2,0.0,0,177.692,195.11700000000002,202.581,195.11700000000002,181.983,204.08700000000002,219.417,238.43200000000002,259.783,294.13599999999997,306.585,319.253,317.43,311.987,310.182,317.43,330.284,341.473,350.918,350.918,343.353,330.284,332.13800000000003,328.434,328.434,326.589,324.748,303.006,299.444,295.901,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
43,34060000,2,1968-01-01,,1,1,585.15,228.84099999999998,338.01199999999994,1,28,2,2,2,,0,585.15,581.429,559.125,518.3290000000001,514.626,473.975,466.599,453.423,428.306,377.945,339.597,304.793,281.907,288.868,294.13599999999997,275.018,259.783,280.178,273.307,258.113,253.13099999999997,243.29,241.666,241.666,248.19,241.666,235.21599999999998,228.84099999999998,243.29,232.019,254.787,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
44,34060000,2,1968-01-02,,1,1,507.225,254.787,346.918,26,1,2,2,2,,0,254.787,269.89799999999997,311.987,364.325,354.727,343.353,349.02099999999996,362.397,370.13599999999997,377.945,374.032,368.195,354.727,345.23800000000006,328.434,317.43,306.585,295.901,295.901,313.797,332.13800000000003,339.597,364.325,370.13599999999997,372.082,507.225,379.908,366.25800000000004,370.13599999999997,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
45,34060000,2,1968-01-03,,1,1,633.609,235.21599999999998,404.559,21,31,2,2,2,,0,372.082,375.986,418.02,488.741,485.048,559.125,547.986,510.925,462.913,434.528,379.908,350.918,322.91200000000003,301.223,343.353,401.784,397.76800000000003,434.528,525.737,451.30699999999996,633.609,618.682,453.423,389.787,328.434,297.671,275.018,256.448,248.19,240.046,235.21599999999998,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
46,34060000,2,1968-01-04,,1,1,310.182,198.088,238.56900000000002,7,30,2,2,2,,0,232.019,227.25799999999998,233.615,249.832,253.13099999999997,304.793,310.182,299.444,295.901,273.307,253.13099999999997,243.29,230.428,220.976,222.54,216.31400000000002,230.428,236.822,236.822,227.25799999999998,219.417,216.31400000000002,220.976,230.428,230.428,220.976,214.769,207.11599999999999,201.078,198.088,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
