,data,vel_m,month,year
4865,2003-04-12,1.666667,4,2003
4866,2003-04-13,2.333333,4,2003
4867,2003-04-14,3.333333,4,2003
4868,2003-04-15,2.333333,4,2003
4869,2003-04-16,2.333333,4,2003
4870,2003-04-17,2.333333,4,2003
4871,2003-04-18,1.333333,4,2003
4872,2003-04-19,1.333333,4,2003
4873,2003-04-20,1.666667,4,2003
4874,2003-04-21,3.666667,4,2003
4875,2003-04-22,3.333333,4,2003
4876,2003-04-23,4.0,4,2003
4877,2003-04-24,2.666667,4,2003
4878,2003-04-25,3.0,4,2003
4879,2003-04-26,1.666667,4,2003
4880,2003-04-27,3.0,4,2003
4881,2003-04-28,2.0,4,2003
4882,2003-04-29,1.333333,4,2003
4883,2003-04-30,2.333333,4,2003
4884,2003-05-01,3.0,5,2003
4885,2003-05-02,0.666667,5,2003
4886,2003-05-03,0.0,5,2003
4887,2003-05-04,0.333333,5,2003
4888,2003-05-05,0.333333,5,2003
4889,2003-05-06,0.333333,5,2003
4890,2003-05-07,0.666667,5,2003
4891,2003-05-08,1.0,5,2003
4892,2003-05-09,1.0,5,2003
4893,2003-05-10,1.333333,5,2003
4894,2003-05-11,1.0,5,2003
4895,2003-05-12,0.666667,5,2003
4896,2003-05-13,2.666667,5,2003
4897,2003-05-14,1.333333,5,2003
4898,2003-05-15,1.666667,5,2003
4899,2003-05-16,1.666667,5,2003
4900,2003-05-17,1.666667,5,2003
4901,2003-05-18,1.333333,5,2003
4902,2003-05-19,1.666667,5,2003
4903,2003-05-20,0.333333,5,2003
4904,2003-05-21,2.0,5,2003
4905,2003-05-22,1.333333,5,2003
4906,2003-05-23,0.333333,5,2003
4907,2003-05-24,0.333333,5,2003
4908,2003-05-25,0.666667,5,2003
4909,2003-05-26,0.0,5,2003
4910,2003-05-27,1.333333,5,2003
4911,2003-05-28,1.333333,5,2003
4912,2003-05-29,2.0,5,2003
4913,2003-05-30,1.666667,5,2003
4914,2003-05-31,1.666667,5,2003
4915,2003-06-01,2.333333,6,2003
4916,2003-06-02,2.0,6,2003
4917,2003-06-03,2.0,6,2003
4918,2003-06-04,2.666667,6,2003
4919,2003-06-05,2.0,6,2003
4920,2003-06-06,1.333333,6,2003
4921,2003-06-07,2.666667,6,2003
4922,2003-06-08,2.666667,6,2003
4923,2003-06-09,1.666667,6,2003
4924,2003-06-10,0.666667,6,2003
4925,2003-06-11,2.333333,6,2003
4926,2003-06-12,0.666667,6,2003
4927,2003-06-13,1.666667,6,2003
4928,2003-06-14,1.666667,6,2003
4929,2003-06-15,0.333333,6,2003
4930,2003-06-16,2.333333,6,2003
4931,2003-06-17,1.0,6,2003
4932,2003-06-18,1.333333,6,2003
4933,2003-06-19,2.0,6,2003
4934,2003-06-20,2.666667,6,2003
4935,2003-06-21,1.666667,6,2003
4936,2003-06-22,1.666667,6,2003
4937,2003-06-23,2.666667,6,2003
4938,2003-06-24,1.0,6,2003
4939,2003-06-25,1.333333,6,2003
4940,2003-06-26,0.666667,6,2003
4941,2003-06-27,1.333333,6,2003
4942,2003-06-28,0.666667,6,2003
4943,2003-06-29,0.666667,6,2003
4944,2003-06-30,1.0,6,2003
4945,2003-07-01,3.333333,7,2003
4946,2003-07-02,2.666667,7,2003
4947,2003-07-03,2.0,7,2003
4948,2003-07-04,2.666667,7,2003
4949,2003-07-05,3.666667,7,2003
4950,2003-07-06,0.666667,7,2003
4951,2003-07-07,2.0,7,2003
4952,2003-07-08,1.666667,7,2003
4953,2003-07-09,1.0,7,2003
4954,2003-07-10,1.666667,7,2003
4955,2003-07-11,0.666667,7,2003
4956,2003-07-12,4.0,7,2003
4957,2003-07-13,2.666667,7,2003
4958,2003-07-14,3.0,7,2003
4959,2003-07-15,2.0,7,2003
4960,2003-07-16,2.666667,7,2003
4961,2003-07-17,3.0,7,2003
4962,2003-07-18,2.666667,7,2003
4963,2003-07-19,2.666667,7,2003
4964,2003-07-20,1.0,7,2003
4965,2003-07-21,2.333333,7,2003
4966,2003-07-22,2.0,7,2003
