Estacao;Data;Hora;DirecaoVento;VelocidadeVento
82678;27/03/2018;1200;18;2.05776;
82678;27/03/2018;1800;9;2.5722;
82678;28/03/2018;0000;0;0;
82678;28/03/2018;1200;14;2.5722;
82678;28/03/2018;1800;14;2.5722;
82678;29/03/2018;0000;14;0.51444;
82678;29/03/2018;1200;0;0;
82678;29/03/2018;1800;14;0.51444;
82678;30/03/2018;0000;0;0;
82678;30/03/2018;1200;5;1.02888;
82678;30/03/2018;1800;14;2.05776;
82678;31/03/2018;0000;9;1.02888;
82678;31/03/2018;1200;0;0;
82678;31/03/2018;1800;18;1.02888;
82678;01/04/2018;0000;0;0;
82678;01/04/2018;1200;9;0.51444;
82678;01/04/2018;1800;5;0.51444;
82678;02/04/2018;0000;36;1.54332;
82678;02/04/2018;1200;9;2.05776;
82678;02/04/2018;1800;9;1.54332;
82678;03/04/2018;0000;9;1.54332;
82678;03/04/2018;1200;36;1.02888;
82678;03/04/2018;1800;23;0.51444;
82678;04/04/2018;0000;9;1.02888;
82678;04/04/2018;1200;36;2.05776;
82678;04/04/2018;1800;27;1.54332;
82678;05/04/2018;0000;0;0;
82678;05/04/2018;1200;5;0.51444;
82678;05/04/2018;1800;5;1.54332;
82678;06/04/2018;0000;5;1.02888;
82678;06/04/2018;1200;36;0.51444;
82678;06/04/2018;1800;23;1.02888;
82678;07/04/2018;1200;27;0.51444;
82678;07/04/2018;1800;9;0.51444;
82678;08/04/2018;0000;0;0;
82678;08/04/2018;1200;18;0.51444;
82678;08/04/2018;1800;5;1.54332;
82678;09/04/2018;0000;14;0.51444;
82678;09/04/2018;1200;5;0.51444;
82678;10/04/2018;0000;9;1.54332;
82678;10/04/2018;1200;0;0;
82678;10/04/2018;1800;18;0.51444;
82678;11/04/2018;0000;32;0.51444;
82678;11/04/2018;1200;27;0.51444;
82678;11/04/2018;1800;14;1.02888;
82678;12/04/2018;0000;14;1.02888;
82678;12/04/2018;1200;0;0;
82678;12/04/2018;1800;14;1.02888;
82678;13/04/2018;0000;9;1.02888;
82678;13/04/2018;1200;0;0;
82678;13/04/2018;1800;9;1.02888;
82678;14/04/2018;0000;0;0;
82678;14/04/2018;1200;5;1.54332;
82678;14/04/2018;1800;9;2.5722;
82678;15/04/2018;0000;0;0;
82678;15/04/2018;1200;9;1.02888;
82678;15/04/2018;1800;9;1.54332;
82678;16/04/2018;0000;0;0;
82678;16/04/2018;1200;18;1.02888;
82678;16/04/2018;1800;18;1.54332;
82678;17/04/2018;0000;0;0;
82678;17/04/2018;1200;36;1.54332;
82678;17/04/2018;1800;14;1.54332;
82678;18/04/2018;0000;14;0.51444;
82678;18/04/2018;1200;14;2.5722;
82678;18/04/2018;1800;14;2.5722;
82678;19/04/2018;0000;18;0.51444;
82678;19/04/2018;1200;18;2.5722;
82678;19/04/2018;1800;14;1.02888;
82678;20/04/2018;0000;0;0;
82678;20/04/2018;1200;14;3.60108;
82678;20/04/2018;1800;14;2.05776;
82678;21/04/2018;0000;14;1.02888;
82678;21/04/2018;1200;14;1.02888;
82678;21/04/2018;1800;14;2.5722;
82678;22/04/2018;0000;0;0;
82678;22/04/2018;1200;14;2.5722;
82678;22/04/2018;1800;14;2.05776;
82678;23/04/2018;0000;0;0;
82678;23/04/2018;1200;9;3.60108;
82678;23/04/2018;1800;14;2.5722;
82678;24/04/2018;0000;14;2.5722;
82678;24/04/2018;1200;14;2.5722;
82678;24/04/2018;1800;9;3.08664;
82678;25/04/2018;0000;14;0.51444;
82678;25/04/2018;1200;9;3.60108;
82678;25/04/2018;1800;14;2.5722;
82678;26/04/2018;0000;0;0;
82678;26/04/2018;1200;14;3.08664;
82678;26/04/2018;1800;14;2.05776;
82678;27/04/2018;0000;14;2.5722;
82678;27/04/2018;1200;14;3.08664;
82678;27/04/2018;1800;14;1.54332;
82678;28/04/2018;0000;0;0;
82678;28/04/2018;1200;14;2.5722;
82678;28/04/2018;1800;9;1.54332;
82678;29/04/2018;0000;0;0;
82678;29/04/2018;1200;14;4.11552;
82678;29/04/2018;1800;8;2.05776;
82678;30/04/2018;0000;9;0.51444;
82678;30/04/2018;1200;9;3.08664;
82678;30/04/2018;1800;14;2.5722;
82678;01/05/2018;0000;0;0;
82678;01/05/2018;1200;9;0.51444;
82678;01/05/2018;1800;18;1.54332;
82678;02/05/2018;0000;0;0;
82678;02/05/2018;1200;9;2.5722;
82678;02/05/2018;1800;14;2.5722;
82678;03/05/2018;0000;0;0;
82678;03/05/2018;1200;14;1.54332;
82678;03/05/2018;1800;14;2.5722;
82678;04/05/2018;0000;0;0;
82678;04/05/2018;1200;18;1.02888;
82678;04/05/2018;1800;18;1.54332;
82678;05/05/2018;0000;0;0;
82678;05/05/2018;1200;14;3.08664;
82678;05/05/2018;1800;18;3.08664;
82678;06/05/2018;0000;18;0.51444;
82678;06/05/2018;1200;14;3.08664;
82678;06/05/2018;1800;9;1.54332;
82678;07/05/2018;0000;0;0;
82678;07/05/2018;1200;18;1.02888;
82678;07/05/2018;1800;14;1.54332;
82678;08/05/2018;0000;18;0.51444;
82678;08/05/2018;1200;14;3.08664;
82678;08/05/2018;1800;14;2.5722;
82678;09/05/2018;0000;0;0;
82678;09/05/2018;1200;14;3.08664;
82678;09/05/2018;1800;14;3.08664;
82678;10/05/2018;0000;14;0.51444;
82678;10/05/2018;1200;9;2.05776;
82678;10/05/2018;1800;14;1.54332;
82678;11/05/2018;0000;0;0;
82678;11/05/2018;1200;9;3.60108;
82678;11/05/2018;1800;14;2.05776;
82678;12/05/2018;0000;5;0.51444;
82678;12/05/2018;1200;9;3.08664;
82678;12/05/2018;1800;9;2.5722;
82678;13/05/2018;0000;9;0.51444;
82678;13/05/2018;1200;0;0;
82678;13/05/2018;1800;9;0.51444;
82678;14/05/2018;0000;9;1.54332;
82678;14/05/2018;1200;14;2.05776;
82678;14/05/2018;1800;14;3.08664;
82678;15/05/2018;0000;0;0;
82678;15/05/2018;1200;14;3.08664;
82678;15/05/2018;1800;14;3.08664;
82678;16/05/2018;0000;0;0;
82678;16/05/2018;1200;18;2.05776;
82678;16/05/2018;1800;9;2.5722;
82678;17/05/2018;0000;0;0;
82678;17/05/2018;1200;9;2.05776;
82678;17/05/2018;1800;5;2.5722;
82678;18/05/2018;0000;9;0.51444;
82678;18/05/2018;1200;9;1.54332;
82678;18/05/2018;1800;9;0.51444;
82678;19/05/2018;0000;0;0;
82678;19/05/2018;1200;14;2.5722;
82678;19/05/2018;1800;9;1.54332;
82678;20/05/2018;0000;5;1.02888;
82678;20/05/2018;1200;9;1.54332;
82678;20/05/2018;1800;23;2.05776;
82678;21/05/2018;0000;9;1.02888;
82678;21/05/2018;1200;5;1.02888;
82678;21/05/2018;1800;23;1.02888;
82678;22/05/2018;0000;0;0;
82678;22/05/2018;1200;0;0;
82678;22/05/2018;1800;0;0;
82678;23/05/2018;0000;18;0.51444;
82678;23/05/2018;1200;9;2.05776;
82678;23/05/2018;1800;14;2.05776;
82678;24/05/2018;0000;18;0.51444;
82678;24/05/2018;1200;14;1.02888;
82678;24/05/2018;1800;14;0.51444;
82678;25/05/2018;0000;0;0;
82678;25/05/2018;1200;5;3.08664;
82678;25/05/2018;1800;9;0.51444;
82678;26/05/2018;0000;0;0;
82678;26/05/2018;1200;14;3.08664;
82678;26/05/2018;1800;18;1.54332;
82678;27/05/2018;0000;0;0;
82678;27/05/2018;1200;5;1.54332;
82678;27/05/2018;1800;14;2.05776;
82678;28/05/2018;0000;18;0.51444;
82678;28/05/2018;1200;5;1.54332;
82678;28/05/2018;1800;9;2.5722;
82678;29/05/2018;0000;9;1.54332;
82678;29/05/2018;1200;14;4.11552;
82678;29/05/2018;1800;14;2.05776;
82678;30/05/2018;0000;14;2.5722;
82678;30/05/2018;1200;14;4.11552;
82678;30/05/2018;1800;14;2.5722;
82678;31/05/2018;0000;18;1.02888;
82678;31/05/2018;1200;14;3.08664;
82678;31/05/2018;1800;9;1.54332;
82678;01/06/2018;0000;14;1.02888;
82678;01/06/2018;1200;14;2.5722;
82678;01/06/2018;1800;14;1.54332;
82678;02/06/2018;0000;0;0;
82678;02/06/2018;1200;14;2.5722;
82678;02/06/2018;1800;14;2.5722;
82678;03/06/2018;0000;0;0;
82678;03/06/2018;1200;14;1.54332;
82678;03/06/2018;1800;9;1.54332;
82678;04/06/2018;0000;0;0;
82678;04/06/2018;1200;14;3.08664;
82678;04/06/2018;1800;18;3.08664;
82678;05/06/2018;0000;14;1.54332;
82678;05/06/2018;1200;14;3.60108;
82678;05/06/2018;1800;14;2.5722;
82678;06/06/2018;0000;0;0;
82678;06/06/2018;1200;9;2.05776;
82678;06/06/2018;1800;9;0.51444;
82678;07/06/2018;0000;0;0;
82678;07/06/2018;1200;9;5.65884;
82678;07/06/2018;1800;18;2.05776;
82678;08/06/2018;0000;0;0;
82678;08/06/2018;1200;9;2.5722;
82678;08/06/2018;1800;9;1.54332;
82678;09/06/2018;0000;9;0.51444;
82678;09/06/2018;1200;14;1.54332;
82678;09/06/2018;1800;18;1.54332;
82678;10/06/2018;0000;0;0;
82678;10/06/2018;1200;14;4.11552;
82678;10/06/2018;1800;14;4.11552;
82678;11/06/2018;0000;0;0;
82678;11/06/2018;1200;14;4.11552;
82678;11/06/2018;1800;14;1.54332;
82678;12/06/2018;0000;14;0.51444;
82678;12/06/2018;1200;9;2.5722;
82678;12/06/2018;1800;9;1.54332;
82678;13/06/2018;0000;9;1.54332;
82678;13/06/2018;1200;14;5.1444;
82678;13/06/2018;1800;14;2.05776;
82678;14/06/2018;0000;0;0;
82678;14/06/2018;1200;14;2.5722;
82678;14/06/2018;1800;18;2.5722;
82678;15/06/2018;0000;0;0;
82678;15/06/2018;1200;9;2.5722;
82678;15/06/2018;1800;18;0.51444;
82678;16/06/2018;0000;0;0;
82678;16/06/2018;1200;14;3.60108;
82678;16/06/2018;1800;14;3.08664;
82678;17/06/2018;0000;14;0.51444;
82678;17/06/2018;1200;14;4.11552;
82678;17/06/2018;1800;14;3.08664;
82678;18/06/2018;0000;14;0.51444;
82678;18/06/2018;1200;14;3.08664;
82678;18/06/2018;1800;14;2.05776;
82678;19/06/2018;0000;0;0;
82678;19/06/2018;1200;14;4.11552;
82678;19/06/2018;1800;9;3.08664;
82678;20/06/2018;0000;18;0.51444;
82678;20/06/2018;1200;14;1.54332;
82678;20/06/2018;1800;14;3.08664;
82678;21/06/2018;0000;18;2.5722;
82678;21/06/2018;1200;18;2.05776;
82678;21/06/2018;1800;18;1.02888;
82678;22/06/2018;0000;0;0;
82678;22/06/2018;1200;14;2.5722;
82678;22/06/2018;1800;9;1.54332;
82678;23/06/2018;0000;0;0;
