Sistema de Informações Hidrológicas,,,,,,,,,,,,,,,,,,,,
Versão Web 3.0,,,,,,,,,,,,,,,,,,,,
© 2018 Agência Nacional de Águas (ANA),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NivelConsistencia: 1 = Bruto, 2 = Consistido,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Restrições da consulta:,,,,,,,,,,,,,,,,,,,,
Código da Estação:34060000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EstacaoCodigo,NivelConsistencia,Data,Hora,NumMedicao,Cota,Vazao,,,,,,,,,,,,,,
34060000,1,20/06/2001,01/01/1900 10:00:00,154,298,162,,,,,,,,,,,,,,
34060000,1,28/09/2001,01/01/1900 12:00:00,155,276,134,,,,,,,,,,,,,,
34060000,1,28/11/2001,01/01/1900 17:00:00,156,342,230,,,,,,,,,,,,,,
34060000,1,02/05/2002,01/01/1900 13:40:00,157,311,186,,,,,,,,,,,,,,
34060000,1,06/07/2002,01/01/1900 09:40:00,158,292,163,,,,,,,,,,,,,,
34060000,1,21/09/2002,01/01/1900 14:00:00,159,274,142,,,,,,,,,,,,,,
34060000,1,11/12/2002,01/01/1900 11:20:00,160,354,245,,,,,,,,,,,,,,
34060000,1,31/07/2003,01/01/1900 13:45:00,162,279,132,,,,,,,,,,,,,,
34060000,1,25/10/2003,01/01/1900 09:15:00,163,277,128,,,,,,,,,,,,,,
34060000,1,11/08/2004,01/01/1900 10:00:00,1,285,146,,,,,,,,,,,,,,
34060000,1,08/06/2005,01/01/1900 14:00:00,65,310,174,,,,,,,,,,,,,,
34060000,1,26/09/2005,01/01/1900 11:45:00,66,288,150,,,,,,,,,,,,,,
34060000,1,09/11/2004,01/01/1900 10:00:00,64,280,139,,,,,,,,,,,,,,
34060000,1,08/04/2003,01/01/1900 15:35:00,60,325,209,,,,,,,,,,,,,,
34060000,1,21/10/2006,01/01/1900 14:30:00,67,309,181,,,,,,,,,,,,,,
